student,mode,person1,person2,person3,person4,person5,person6,person7,person8,person9,person10,relation1_1,relation2_1,relation3_1,interact1_1,interact2_1,interact3_1,purpose1_1,purpose2_1,purpose3_1,relation1_2,relation2_2,relation3_2,interact1_2,interact2_2,interact3_2,purpose1_2,purpose2_2,purpose3_2,relation1_3,relation2_3,relation3_3,interact1_3,interact2_3,interact3_3,purpose1_3,purpose2_3,purpose3_3,relation1_4,relation2_4,relation3_4,interact1_4,interact2_4,interact3_4,purpose1_4,purpose2_4,purpose3_4,relation1_5,relation2_5,relation3_5,interact1_5,interact2_5,interact3_5,purpose1_5,purpose2_5,purpose3_5,relation1_6,relation2_6,relation3_6,interact1_6,interact2_6,interact3_6,purpose1_6,purpose2_6,purpose3_6,relation1_7,relation2_7,relation3_7,interact1_7,interact2_7,interact3_7,purpose1_7,purpose2_7,purpose3_7,relation1_8,relation2_8,relation3_8,interact1_8,interact2_8,interact3_8,purpose1_8,purpose2_8,purpose3_8,relation1_9,relation2_9,relation3_9,interact1_9,interact2_9,interact3_9,purpose1_9,purpose2_9,purpose3_9,relation1_10,relation2_10,relation3_10,interact1_10,interact2_10,interact3_10,purpose1_10,purpose2_10,purpose3_10,advisor1,advisor2,year,1styr,gradplan,praccom,propprac,passprac,comps,propdiss,defdiss,hope1,hope2,hope3
13101,2,13107,16207,12102,,,,,,,,7,10,2,1,3,10,9,7,8,,10,6,1,3,10,8,2,5,6,7,,1,,,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,,4,1,1,1,1,1,1,,,3,5,4
14205,1,10101,12202,14211,14208,14204,12201,,,,,8,7,3,1,6,4,9,1,7,8,3,12,1,3,10,9,1,5,2,7,8,1,6,3,7,2,8,2,7,8,1,6,3,7,2,5,2,7,8,1,6,3,9,5,2,3,8,7,1,3,10,9,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30108,,3,1,1,1,1,,,,,1,2,4
13103,2,12102,12104,13102,14102,15103,13110,14103,15105,20110,,7,3,5,1,4,6,2,5,,3,8,5,10,1,,9,5,,2,8,,1,2,,9,7,,5,2,8,1,4,,9,3,,5,8,,1,11,,7,9,,2,,,1,,,7,,,3,8,1,1,10,,7,9,,5,,,1,5,11,9,5,1,3,5,,1,10,4,9,5,,,,,,,,,,,30102,,4,1,1,1,1,1,,,,6,1,4
14211,1,,,,12202,,,,,,,8,2,7,1,3,6,2,9,7,6,8,11,3,10,4,7,2,7,11,11,7,3,10,6,2,8,9,3,8,7,3,10,1,9,7,5,5,6,8,3,10,7,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30114,30112,3,1,1,1,1,,,,,2,4,3
14101,2,12104,12102,20110,15101,14103,14102,15104,13103,13102,,8,5,7,1,3,10,5,7,9,7,8,10,1,4,10,5,9,7,7,8,5,1,10,3,9,2,7,5,8,3,1,3,10,9,3,5,7,3,1,1,4,10,7,9,4,7,3,1,1,4,10,7,9,4,7,5,8,1,10,4,7,8,3,3,5,7,1,3,10,8,7,5,7,3,17,1,10,,7,1,9,,,,,,,,,,30113,,3,1,1,1,1,,,,,4,3,2
13108,2,13110,13102,13106,14202,13103,13104,,,,,10,2,9,1,3,5,8,3,2,7,2,8,1,3,2,7,9,3,1,10,8,3,2,5,7,8,3,3,10,5,3,5,6,8,7,5,1,7,8,1,4,6,7,9,5,1,2,8,1,10,3,7,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30117,,3,1,1,1,1,1,,,,3,5,4
15101,2,12104,14101,15104,,,,,,,,5,8,7,1,3,10,9,8,3,5,4,8,1,3,10,8,5,9,2,7,9,1,3,10,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30113,,2,1,,,,,,,,2,1,4
13106,2,13108,13110,13107,,,,,,,,2,1,10,3,1,10,7,9,8,2,1,7,6,10,1,5,7,1,2,1,7,1,4,6,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30107,,3,1,1,1,1,1,1,1,,1,4,2
13102,2,14103,13108,20107,13110,12102,13107,13109,,,,7,8,,1,4,3,7,9,5,2,8,7,1,4,3,7,9,,8,11,22,2,1,3,1,2,5,2,17,,1,3,10,8,5,,3,25,,10,1,,9,5,,2,,,1,,,9,5,,2,8,17,1,10,,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,3,1,1,1,1,1,1,,,2,4,6
12203,1,12202,12201,12205,12204,10206,10203,10101,,,,7,8,10,1,2,10,9,2,7,2,8,7,1,10,6,7,9,2,7,2,8,1,4,10,9,2,9,2,7,8,1,6,10,9,7,1,3,8,12,1,6,10,1,9,10,7,3,8,1,5,10,8,9,2,3,8,12,10,6,1,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30105,,5,1,1,1,1,1,1,1,,4,1,6
